iter	Logloss
0	0.4954592116
1	0.3463839072
2	0.2393930886
3	0.1769069392
4	0.1269826841
5	0.09084962606
6	0.06321013422
7	0.04409234475
8	0.03146623816
9	0.02337629326
10	0.01698645125
11	0.01251637081
12	0.009133814471
13	0.006905134541
14	0.005299336876
15	0.004095061244
16	0.003337842543
17	0.002671123614
18	0.002153910422
19	0.001785607521
20	0.001529736868
21	0.001265428565
22	0.00108533684
23	0.0009215531676
24	0.0008142312029
25	0.0007181426221
26	0.0006413990188
27	0.0005860034002
28	0.0005233448668
29	0.0004703901728
30	0.0004330952993
31	0.0004056083366
32	0.000370441677
33	0.000343990631
34	0.000319295033
35	0.0002964404421
36	0.0002810193985
37	0.0002678825255
38	0.0002589761957
39	0.0002449218757
40	0.0002346252253
41	0.0002215647013
42	0.0002106218525
43	0.0002009534545
44	0.0001915256533
45	0.000188904869
46	0.0001821339928
47	0.0001756892608
48	0.0001745723093
49	0.0001686840337
50	0.0001647080063
51	0.0001610979386
52	0.0001572119827
53	0.0001539276316
54	0.0001504916919
55	0.0001474054181
56	0.0001441682145
57	0.0001414369051
58	0.0001384697424
59	0.0001355984637
60	0.0001355984637
61	0.0001330713966
62	0.0001304076537
63	0.0001277680797
64	0.0001277680797
65	0.0001264749952
66	0.0001250558084
67	0.0001239204254
68	0.0001227657443
69	0.0001215891882
70	0.000120385135
71	0.0001193127946
72	0.0001180816027
73	0.0001170063964
74	0.0001159167512
75	0.0001149338812
76	0.0001136873549
77	0.0001126730301
78	0.0001117158139
79	0.0001107457189
80	0.0001097224384
81	0.0001087395742
82	0.0001078411943
83	0.0001068941876
84	0.0001058864843
85	0.0001050603394
86	0.0001041949627
87	0.0001032131501
88	0.0001022662244
89	9.96413493e-05
90	9.96413493e-05
91	9.964419779e-05
92	9.964419779e-05
93	9.964419779e-05
94	9.963787679e-05
95	9.962518856e-05
96	9.967412723e-05
97	9.967412723e-05
98	9.963512074e-05
99	9.964583871e-05
100	9.961023829e-05
101	9.961023829e-05
102	9.962073959e-05
103	9.962073959e-05
104	9.962073959e-05
105	9.961185898e-05
106	9.961185898e-05
107	9.962627191e-05
108	9.962627191e-05
109	9.962627191e-05
110	9.962627191e-05
111	9.962411676e-05
112	9.962411676e-05
113	9.963233002e-05
114	9.963233002e-05
115	9.963233002e-05
116	9.963233002e-05
117	9.963233002e-05
118	9.963233002e-05
119	9.963233002e-05
120	9.96054802e-05
121	9.96054022e-05
122	9.959288441e-05
123	9.959288441e-05
124	9.96056362e-05
125	9.96056362e-05
126	9.808412595e-05
127	9.805300338e-05
128	9.805300338e-05
129	9.805300338e-05
130	9.805300338e-05
131	9.805300338e-05
132	9.805300338e-05
133	9.808728934e-05
134	9.808728934e-05
135	9.808728934e-05
136	9.808728934e-05
137	9.808728934e-05
138	9.808728934e-05
139	9.807352354e-05
140	9.805378051e-05
141	9.805378051e-05
142	9.805378051e-05
143	9.805378051e-05
144	9.805378051e-05
145	9.805963062e-05
146	9.806719387e-05
147	9.806719387e-05
148	9.806719387e-05
149	9.806719387e-05
150	9.806719387e-05
151	9.806719387e-05
152	9.807539268e-05
