iter	Logloss
153	9.804327921e-05
154	9.804327921e-05
155	9.804327921e-05
156	9.804327921e-05
157	9.804327921e-05
158	9.804327921e-05
159	9.805535209e-05
160	9.804852552e-05
161	9.804852552e-05
162	9.804852552e-05
163	9.804852552e-05
164	9.804852552e-05
165	9.804852552e-05
166	9.804852552e-05
167	9.804852552e-05
168	9.804852552e-05
169	9.804852552e-05
170	9.804852552e-05
171	9.804852552e-05
172	9.804852552e-05
173	9.804852552e-05
174	9.804852552e-05
175	9.804852552e-05
176	9.806261778e-05
177	9.806261778e-05
178	9.806149976e-05
179	9.806149976e-05
180	9.805135669e-05
181	9.805135669e-05
182	9.805135669e-05
183	9.805135669e-05
184	9.805135669e-05
185	9.80549332e-05
186	9.80539134e-05
187	9.80539134e-05
188	9.804700594e-05
189	9.804700594e-05
190	9.804700594e-05
191	9.804700594e-05
192	9.804700594e-05
193	9.804700594e-05
194	9.804700594e-05
195	9.804700594e-05
196	9.804700594e-05
197	9.804700594e-05
198	9.804700594e-05
199	9.804700594e-05
200	9.804700594e-05
201	9.804700594e-05
202	9.804700594e-05
203	9.804700594e-05
204	9.803207878e-05
205	9.804190407e-05
206	9.804190407e-05
207	9.802596289e-05
208	9.802596289e-05
209	9.805347139e-05
210	9.805347139e-05
211	9.805347139e-05
212	9.804389166e-05
213	9.804389166e-05
214	9.803255257e-05
215	9.804358543e-05
216	9.804358543e-05
217	9.804358543e-05
218	9.804535058e-05
219	9.804535058e-05
220	9.804535058e-05
221	9.803846045e-05
222	9.803846045e-05
223	9.803846045e-05
224	9.803846045e-05
225	9.803846045e-05
226	9.803846045e-05
227	9.803846045e-05
228	9.803846045e-05
229	9.803846045e-05
230	9.803846045e-05
231	9.803675598e-05
232	9.801362133e-05
233	9.801362133e-05
234	9.803654797e-05
235	9.803654797e-05
236	9.801993078e-05
237	9.801267376e-05
238	9.803503706e-05
239	9.798837487e-05
240	9.801356066e-05
241	9.799885306e-05
242	9.799885306e-05
243	9.800274735e-05
244	9.80060003e-05
245	9.800251046e-05
246	9.800251046e-05
247	9.800251046e-05
248	9.800251046e-05
249	9.800251046e-05
250	9.800251046e-05
251	9.800251046e-05
252	9.800251046e-05
253	9.800528962e-05
254	9.799547878e-05
255	9.799547878e-05
256	9.799547878e-05
257	9.799547878e-05
258	9.799547878e-05
259	9.799547878e-05
260	9.799547878e-05
261	9.801516114e-05
262	9.801516114e-05
263	9.801516114e-05
264	9.799766859e-05
265	9.799766859e-05
266	9.799766859e-05
267	9.799766859e-05
268	9.799766859e-05
269	9.801458046e-05
270	9.801458046e-05
271	9.801458046e-05
272	9.799324274e-05
273	9.799324274e-05
274	9.800335403e-05
275	9.800335403e-05
276	9.800335403e-05
277	9.800097932e-05
278	9.800225046e-05
279	9.800225046e-05
280	9.801161063e-05
281	9.801161063e-05
282	9.799528522e-05
283	9.799528522e-05
284	9.798896132e-05
285	9.798027428e-05
286	9.798027428e-05
287	9.798027428e-05
288	9.798027428e-05
289	9.798027428e-05
290	9.80028918e-05
291	9.80028918e-05
292	9.80028918e-05
293	9.799295384e-05
294	9.799295384e-05
295	9.798152519e-05
296	9.798152519e-05
297	9.798294655e-05
298	9.798294655e-05
299	9.799732192e-05
300	9.79854397e-05
301	9.79854397e-05
302	9.79854397e-05
303	9.796308507e-05
304	9.795986101e-05
305	9.795986101e-05
306	9.797982649e-05
307	9.797982649e-05
308	9.799406897e-05
309	9.794890615e-05
310	9.794890615e-05
311	9.794890615e-05
312	9.797877492e-05
313	9.798274432e-05
314	9.796714981e-05
315	9.796714981e-05
316	9.796714981e-05
317	9.795488915e-05
318	9.797376549e-05
319	9.797376549e-05
320	9.797376549e-05
321	9.797376549e-05
322	9.797376549e-05
323	9.796338263e-05
324	9.796338263e-05
325	9.796338263e-05
326	9.797574442e-05
327	9.794396317e-05
328	9.794396317e-05
329	9.794396317e-05
330	9.794800191e-05
331	9.794559542e-05
332	9.794559542e-05
333	9.794559542e-05
334	9.795505093e-05
335	9.795505093e-05
336	9.79385724e-05
337	9.79385724e-05
338	9.79385724e-05
339	9.794341716e-05
340	9.793890174e-05
341	9.793890174e-05
342	9.793890174e-05
343	9.793890174e-05
344	9.793890174e-05
345	9.79436165e-05
346	9.794184269e-05
347	9.794184269e-05
348	9.793407143e-05
349	9.793407143e-05
350	9.793407143e-05
351	9.792827044e-05
352	9.792827044e-05
353	9.792827044e-05
354	9.792827044e-05
355	9.792827044e-05
356	9.792827044e-05
357	9.792827044e-05
358	9.792827044e-05
359	9.792827044e-05
360	9.792827044e-05
361	9.793128938e-05
362	9.793128938e-05
363	9.793128938e-05
364	9.793128938e-05
365	9.793128938e-05
366	9.793128938e-05
367	9.793128938e-05
368	9.793128938e-05
369	9.793145405e-05
370	9.792205921e-05
371	9.790770406e-05
372	9.790770406e-05
373	9.790770406e-05
374	9.790770406e-05
375	9.791804647e-05
376	9.791804647e-05
377	9.789745121e-05
378	9.789745121e-05
379	9.793276563e-05
380	9.793276563e-05
381	9.789024619e-05
382	9.789024619e-05
383	9.789192466e-05
384	9.789192466e-05
385	9.793063359e-05
386	9.793063359e-05
387	9.790593603e-05
388	9.789412604e-05
389	9.789412604e-05
390	9.790894053e-05
391	9.790894053e-05
392	9.791694001e-05
393	9.791694001e-05
394	9.793144827e-05
395	9.791733579e-05
396	9.791733579e-05
397	9.79016864e-05
398	9.79016864e-05
399	9.791463463e-05
400	9.791463463e-05
401	9.790061171e-05
402	9.788779059e-05
403	9.790864297e-05
404	9.788460408e-05
405	9.789084709e-05
406	9.788712035e-05
407	9.788198381e-05
408	9.787773129e-05
409	9.787254275e-05
410	9.788656856e-05
411	9.788656856e-05
412	9.786193456e-05
413	9.786193456e-05
414	9.788474564e-05
415	9.789516605e-05
416	9.78488361e-05
417	9.785798538e-05
418	9.785727181e-05
419	9.785674024e-05
420	9.786205301e-05
421	9.787572926e-05
422	9.78628388e-05
423	9.785613356e-05
424	9.784340489e-05
425	9.785554133e-05
426	9.786021853e-05
427	9.785159215e-05
428	9.785435398e-05
429	9.783866702e-05
430	9.785029212e-05
431	9.785559622e-05
432	9.785506466e-05
433	9.785091036e-05
434	9.784318533e-05
435	9.782625035e-05
436	9.784654228e-05
437	9.782189094e-05
438	9.783907436e-05
439	9.782557434e-05
440	9.777915193e-05
441	9.78279086e-05
442	9.783239224e-05
443	9.783123666e-05
444	9.782395942e-05
445	9.782481455e-05
446	9.783202823e-05
447	9.784495914e-05
448	9.782937619e-05
449	9.784226375e-05
450	9.781782909e-05
451	9.780424817e-05
452	9.78263428e-05
453	9.781609572e-05
454	9.779712982e-05
455	9.780954071e-05
456	9.782365897e-05
457	9.779608402e-05
458	9.782758504e-05
459	9.782157604e-05
460	9.781808909e-05
461	9.780908715e-05
462	9.779563912e-05
463	9.778862189e-05
464	9.78043724e-05
465	9.779437955e-05
466	9.78056002e-05
467	9.779669359e-05
468	9.778785632e-05
469	9.778568383e-05
470	9.779171305e-05
471	9.779998987e-05
472	9.77667526e-05
473	9.777925594e-05
474	9.777631499e-05
475	9.778632518e-05
476	9.778039707e-05
477	9.779310841e-05
478	9.777754279e-05
479	9.777650278e-05
480	9.776273697e-05
481	9.778501071e-05
482	9.777847303e-05
483	9.777168691e-05
484	9.775800199e-05
485	9.777055444e-05
486	9.777140379e-05
487	9.773684338e-05
488	9.778028729e-05
489	9.775892068e-05
490	9.775446882e-05
491	9.774797159e-05
492	9.776942198e-05
493	9.774490931e-05
494	9.773476335e-05
495	9.775718731e-05
496	9.776723794e-05
497	9.77430835e-05
498	9.777104845e-05
499	9.77607176e-05
