iter	Passed	Remaining
398	59539	15071
399	59633	14908
400	59765	14754
401	59913	14605
402	60103	14466
403	60227	14311
404	60398	14167
405	60504	14008
406	60608	13849
407	60704	13688
408	60850	13538
409	61011	13392
410	61126	13236
411	61247	13081
412	61321	12917
413	61506	12776
414	61668	12630
415	61822	12483
416	61959	12332
417	62039	12170
418	62177	12019
419	62306	11867
420	62417	11712
421	62517	11555
422	62655	11405
423	62824	11261
424	62994	11116
425	63131	10966
426	63224	10808
427	63378	10661
428	63475	10505
429	63806	10387
430	64025	10249
431	64220	10108
432	64370	9960
433	64475	9805
434	64601	9653
435	64756	9505
436	64922	9359
437	65054	9208
438	65165	9054
439	65325	8907
440	65433	8754
441	65522	8598
442	65635	8445
443	65738	8291
444	65873	8141
445	65989	7989
446	66152	7843
447	66298	7695
448	66395	7541
449	66511	7390
450	66610	7237
451	66766	7090
452	66915	6942
453	67112	6799
454	67243	6650
455	67376	6501
456	67478	6349
457	67607	6199
458	67738	6050
459	67886	5903
460	68023	5754
461	68103	5601
462	68203	5450
463	68373	5304
464	68518	5157
465	68696	5012
466	68838	4864
467	68987	4717
468	69102	4567
469	69211	4417
470	69345	4269
471	69445	4119
472	69590	3972
473	69750	3825
474	69910	3679
475	70060	3532
476	70230	3386
477	70331	3237
478	70465	3089
479	70609	2942
480	70722	2793
481	70878	2646
482	71029	2500
483	71139	2351
484	71257	2203
485	71359	2055
486	71486	1908
487	71652	1761
488	71777	1614
489	71907	1467
490	72051	1320
491	72172	1173
492	72384	1027
493	72509	880
494	72641	733
495	72789	587
496	72922	440
497	73049	293
498	73210	146
499	73318	0
